metric,term,numDF,F-value,p-value
richness,(Intercept),1,0.961,0.328
richness,health,1,2.196,0.139
richness,site,4,2.880,0.023
richness,timepoint,3,3.383,0.018
richness,health:site,4,1.691,0.151
richness,health:timepoint,3,1.856,0.137
richness,site:timepoint,12,1.244,0.251
richness,health:site:timepoint,12,1.533,0.110
shannon,(Intercept),1,7.949,0.005
shannon,health,1,2.334,0.127
shannon,site,4,3.031,0.018
shannon,timepoint,3,2.313,0.076
shannon,health:site,4,11.215,<0.001
shannon,health:timepoint,3,2.187,0.089
shannon,site:timepoint,12,1.691,0.067
shannon,health:site:timepoint,12,2.462,0.004
simpson,(Intercept),1,2.637,0.105
simpson,health,1,2.915,0.089
simpson,site,4,3.160,0.014
simpson,timepoint,3,1.739,0.159
simpson,health:site,4,9.315,<0.001
simpson,health:timepoint,3,1.584,0.193
simpson,site:timepoint,12,1.379,0.173
simpson,health:site:timepoint,12,2.526,0.003
